budget,model,arm,item,truth,failing,realized_words,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,incoherent,nn_decision
40w,haiku,control,clinical_enroll-003,DENIED,creatinine clearance,52,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,DENIED
40w,haiku,control,clinical_enroll-004,APPROVED,,58,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-005,DENIED,left ventricular ejection fraction,44,True,1.0,DENIED,True,left ventricular ejection fraction,Left ventricular ejection fraction,True,False,False,DENIED
40w,haiku,control,clinical_enroll-006,APPROVED,,44,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-007,DENIED,systolic blood pressure,43,True,1.0,DENIED,True,systolic blood pressure,Systolic blood pressure,True,False,False,DENIED
40w,haiku,control,clinical_enroll-008,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-009,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-010,APPROVED,,46,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-011,DENIED,estimated glomerular filtration rate,40,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,False,APPROVED
40w,haiku,control,clinical_enroll-012,APPROVED,,43,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,clinical_enroll-013,DENIED,creatinine clearance,48,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,DENIED
40w,haiku,control,clinical_enroll-014,APPROVED,,46,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,clinical_enroll-015,APPROVED,,53,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,clinical_enroll-016,APPROVED,,40,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,clinical_enroll-017,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-018,APPROVED,,45,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-019,APPROVED,,45,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,clinical_enroll-020,DENIED,hemoglobin,47,True,1.0,DENIED,True,hemoglobin,hemoglobin,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-021,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-022,DENIED,systolic blood pressure,53,True,1.0,DENIED,True,systolic blood pressure,Systolic blood pressure,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-023,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,clinical_enroll-024,DENIED,triglycerides,44,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,DENIED
40w,haiku,control,clinical_enroll-025,DENIED,body mass index,49,True,1.0,DENIED,True,body mass index,Body mass index,True,False,False,DENIED
40w,haiku,control,clinical_enroll-026,DENIED,fasting glucose,46,True,1.0,DENIED,True,fasting glucose,glucose,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-027,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-028,DENIED,creatinine clearance,43,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,APPROVED
40w,haiku,control,clinical_enroll-029,DENIED,fasting glucose,56,True,0.6666666666666666,DENIED,True,fasting glucose,fasting glucose,True,False,False,APPROVED
40w,haiku,control,ci_release-000,APPROVED,,57,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,ci_release-001,APPROVED,,56,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,ci_release-002,DENIED,line coverage,56,True,1.0,DENIED,True,line coverage,Line coverage,True,False,False,APPROVED
40w,haiku,control,ci_release-003,DENIED,open severity-one defects,40,True,1.0,APPROVED,False,open severity-one defects,open severity-one defects,True,False,False,APPROVED
40w,haiku,control,ci_release-004,DENIED,flaky test count,54,True,1.0,DENIED,True,flaky test count,flaky test count,True,False,False,DENIED
40w,haiku,control,ci_release-005,DENIED,rollback drill success,61,True,0.6666666666666666,DENIED,True,rollback drill success,Rollback drill success,True,False,False,DENIED
40w,haiku,control,ci_release-006,DENIED,dependency audit findings,49,True,0.6666666666666666,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,haiku,control,ci_release-007,APPROVED,,51,,0.3333333333333333,APPROVED,True,unit test pass rate,unit test pass rate,False,False,False,APPROVED
40w,haiku,control,ci_release-008,APPROVED,,53,,0.6666666666666666,DENIED,False,mean time to acknowledge,mean time to acknowledge,False,False,False,DENIED
40w,haiku,control,ci_release-009,DENIED,bundle size,46,False,0.3333333333333333,DENIED,True,mean time to acknowledge,mean time to acknowledge,False,False,False,DENIED
40w,haiku,control,ci_release-010,APPROVED,,47,,0.6666666666666666,DENIED,False,build reproducibility,build reproducibility,False,False,False,DENIED
40w,haiku,control,ci_release-011,APPROVED,,44,,0.3333333333333333,APPROVED,True,error budget remaining,error budget remaining,False,False,False,DENIED
40w,haiku,control,ci_release-012,DENIED,cold start time,54,True,1.0,DENIED,True,cold start time,Cold start time,True,False,False,APPROVED
40w,haiku,control,ci_release-013,APPROVED,,58,,0.3333333333333333,DENIED,False,rollback drill success,rollback drill success,False,False,False,DENIED
40w,haiku,control,ci_release-014,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,control,ci_release-015,APPROVED,,55,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,ci_release-016,DENIED,error budget remaining,63,True,1.0,DENIED,True,error budget remaining,error budget,True,False,False,APPROVED
40w,haiku,control,ci_release-017,DENIED,cold start time,55,False,0.3333333333333333,DENIED,True,NONE,NONE,False,False,True,DENIED
40w,haiku,control,ci_release-018,APPROVED,,63,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,ci_release-019,APPROVED,,54,,0.3333333333333333,APPROVED,True,bundle size,bundle size,False,False,False,DENIED
40w,haiku,control,ci_release-020,DENIED,dependency audit findings,53,True,1.0,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,haiku,control,ci_release-021,APPROVED,,57,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,control,ci_release-022,APPROVED,,51,,0.3333333333333333,DENIED,False,cold start time,cold start time,False,False,False,DENIED
40w,haiku,control,ci_release-023,APPROVED,,55,,0.6666666666666666,DENIED,False,mean time to acknowledge,mean time to acknowledge,False,False,False,DENIED
40w,haiku,control,ci_release-024,DENIED,open severity-one defects,51,True,0.6666666666666666,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,DENIED
40w,haiku,control,ci_release-025,APPROVED,,51,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,control,ci_release-026,DENIED,line coverage,44,True,0.6666666666666666,DENIED,True,line coverage,Line coverage,True,False,False,DENIED
40w,haiku,control,ci_release-027,DENIED,open severity-one defects,48,True,0.3333333333333333,DENIED,True,open severity-one defects,Open S1 defects,True,False,False,APPROVED
40w,haiku,control,ci_release-028,DENIED,flaky test count,47,False,0.0,DENIED,True,flaky test count,flaky test count,True,False,False,DENIED
40w,haiku,control,ci_release-029,DENIED,peak heap usage,57,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
40w,haiku,fusion,ops_incident-000,DENIED,umbilical release delay,66,True,1.0,DENIED,True,umbilical release delay,Umbilical release delay,True,False,False,DENIED
40w,haiku,fusion,ops_incident-001,DENIED,seal torque retention,66,True,1.0,DENIED,True,seal torque retention,seal torque,True,False,False,DENIED
40w,haiku,fusion,ops_incident-002,DENIED,seal torque retention,68,True,1.0,DENIED,True,seal torque retention,seal torque,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-003,APPROVED,,68,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,ops_incident-004,APPROVED,,70,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-005,DENIED,reserve charge margin,89,True,1.0,DENIED,True,reserve charge margin,reserve charge,True,False,False,DENIED
40w,haiku,fusion,ops_incident-006,APPROVED,,64,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-007,APPROVED,,72,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-008,DENIED,coolant loop flow rate,54,True,1.0,DENIED,True,coolant loop flow rate,coolant flow,True,False,False,DENIED
40w,haiku,fusion,ops_incident-009,DENIED,battery bus impedance,66,True,1.0,DENIED,True,battery bus impedance,Battery impedance,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-010,APPROVED,,71,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-011,APPROVED,,66,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-012,APPROVED,,84,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-013,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-014,DENIED,particulate count,85,True,1.0,DENIED,True,particulate count,particulate,True,False,False,DENIED
40w,haiku,fusion,ops_incident-015,DENIED,seal torque retention,67,True,1.0,DENIED,True,seal torque retention,Seal torque,True,False,False,DENIED
40w,haiku,fusion,ops_incident-016,DENIED,coolant loop flow rate,68,True,1.0,DENIED,True,coolant loop flow rate,Coolant flow,True,False,False,DENIED
40w,haiku,fusion,ops_incident-017,DENIED,star tracker residual,68,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,DENIED
40w,haiku,fusion,ops_incident-018,APPROVED,,78,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-019,APPROVED,,85,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-020,APPROVED,,57,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-021,APPROVED,,73,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-022,DENIED,thermal blanket coverage,87,True,1.0,DENIED,True,thermal blanket coverage,Thermal blanket,True,False,False,DENIED
40w,haiku,fusion,ops_incident-023,APPROVED,,66,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ops_incident-024,DENIED,telemetry downlink margin,68,True,1.0,DENIED,True,telemetry downlink margin,telemetry margin,True,False,False,DENIED
40w,haiku,fusion,ops_incident-025,APPROVED,,73,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-026,DENIED,gyro drift rate,83,True,1.0,DENIED,True,gyro drift rate,Gyro drift,True,False,False,DENIED
40w,haiku,fusion,ops_incident-027,DENIED,battery bus impedance,70,True,1.0,DENIED,True,battery bus impedance,battery bus impedance,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-028,DENIED,star tracker residual,65,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,APPROVED
40w,haiku,fusion,ops_incident-029,APPROVED,,85,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-000,DENIED,systolic blood pressure,53,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-001,DENIED,triglycerides,59,True,1.0,DENIED,True,triglycerides,Triglycerides,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-002,DENIED,systolic blood pressure,49,True,1.0,DENIED,True,UNMATCHED,systolic BP,False,True,False,DENIED
40w,haiku,fusion,clinical_enroll-003,DENIED,creatinine clearance,62,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-004,APPROVED,,59,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-005,DENIED,left ventricular ejection fraction,54,True,1.0,DENIED,True,left ventricular ejection fraction,Left ventricular ejection fraction,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-006,APPROVED,,49,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-007,DENIED,systolic blood pressure,49,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,DENIED
40w,haiku,fusion,clinical_enroll-008,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-009,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-010,APPROVED,,56,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-011,DENIED,estimated glomerular filtration rate,49,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,False,APPROVED
40w,haiku,fusion,clinical_enroll-012,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-013,DENIED,creatinine clearance,64,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-014,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-015,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-016,APPROVED,,57,,1.0,APPROVED,True,,,False,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-017,APPROVED,,53,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-018,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-019,APPROVED,,41,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-020,DENIED,hemoglobin,52,True,1.0,DENIED,True,hemoglobin,hemoglobin,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-021,APPROVED,,53,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-022,DENIED,systolic blood pressure,56,True,1.0,DENIED,True,UNMATCHED,SBP,False,True,False,APPROVED
40w,haiku,fusion,clinical_enroll-023,APPROVED,,60,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,clinical_enroll-024,DENIED,triglycerides,50,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-025,DENIED,body mass index,53,True,1.0,DENIED,True,body mass index,Body mass index,True,False,False,DENIED
40w,haiku,fusion,clinical_enroll-026,DENIED,fasting glucose,55,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-027,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-028,DENIED,creatinine clearance,55,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,APPROVED
40w,haiku,fusion,clinical_enroll-029,DENIED,fasting glucose,56,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,APPROVED
40w,haiku,fusion,ci_release-000,APPROVED,,65,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-001,APPROVED,,67,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,ci_release-002,DENIED,line coverage,79,True,1.0,DENIED,True,line coverage,line coverage,True,False,False,APPROVED
40w,haiku,fusion,ci_release-003,DENIED,open severity-one defects,60,True,1.0,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,APPROVED
40w,haiku,fusion,ci_release-004,DENIED,flaky test count,86,True,1.0,DENIED,True,flaky test count,Flaky tests,True,False,False,DENIED
40w,haiku,fusion,ci_release-005,DENIED,rollback drill success,70,True,1.0,DENIED,True,rollback drill success,Rollback drill,True,False,False,DENIED
40w,haiku,fusion,ci_release-006,DENIED,dependency audit findings,66,True,1.0,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,haiku,fusion,ci_release-007,APPROVED,,58,,0.3333333333333333,DENIED,False,unit test pass rate,unit test pass rate,False,False,False,APPROVED
40w,haiku,fusion,ci_release-008,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-009,DENIED,bundle size,58,True,0.6666666666666666,DENIED,True,bundle size,bundle size,True,False,False,DENIED
40w,haiku,fusion,ci_release-010,APPROVED,,59,,0.6666666666666666,DENIED,False,build reproducibility,Build reproducibility,False,False,False,DENIED
40w,haiku,fusion,ci_release-011,APPROVED,,68,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-012,DENIED,cold start time,58,True,1.0,DENIED,True,cold start time,cold start time,True,False,False,APPROVED
40w,haiku,fusion,ci_release-013,APPROVED,,59,,0.3333333333333333,DENIED,False,rollback drill success,rollback drill success,False,False,False,DENIED
40w,haiku,fusion,ci_release-014,APPROVED,,68,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,ci_release-015,APPROVED,,75,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-016,DENIED,error budget remaining,65,True,1.0,DENIED,True,error budget remaining,error budget,True,False,False,APPROVED
40w,haiku,fusion,ci_release-017,DENIED,cold start time,60,True,0.6666666666666666,DENIED,True,cold start time,cold start time,True,False,False,DENIED
40w,haiku,fusion,ci_release-018,APPROVED,,63,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-019,APPROVED,,72,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,ci_release-020,DENIED,dependency audit findings,70,True,1.0,DENIED,True,dependency audit findings,dependency audit findings,True,False,False,DENIED
40w,haiku,fusion,ci_release-021,APPROVED,,55,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,haiku,fusion,ci_release-022,APPROVED,,60,,1.0,APPROVED,True,,,False,False,False,DENIED
40w,haiku,fusion,ci_release-023,APPROVED,,70,,1.0,APPROVED,True,UNMATCHED,MTTR,False,True,False,DENIED
40w,haiku,fusion,ci_release-024,DENIED,open severity-one defects,54,True,1.0,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,DENIED
40w,haiku,fusion,ci_release-025,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,haiku,fusion,ci_release-026,DENIED,line coverage,57,True,1.0,DENIED,True,line coverage,line coverage,True,False,False,DENIED
40w,haiku,fusion,ci_release-027,DENIED,open severity-one defects,46,True,0.3333333333333333,DENIED,True,open severity-one defects,open severity-one defects,True,False,False,APPROVED
40w,haiku,fusion,ci_release-028,DENIED,flaky test count,70,True,1.0,DENIED,True,flaky test count,flaky test count,True,False,False,DENIED
40w,haiku,fusion,ci_release-029,DENIED,peak heap usage,59,True,0.6666666666666666,DENIED,True,peak heap usage,Peak heap,True,False,False,DENIED
40w,gpt,control,ops_incident-000,DENIED,umbilical release delay,72,True,1.0,DENIED,True,umbilical release delay,umbilical release delay,True,False,False,DENIED
40w,gpt,control,ops_incident-001,DENIED,seal torque retention,66,True,1.0,DENIED,True,seal torque retention,seal torque retention,True,False,False,
40w,gpt,control,ops_incident-002,DENIED,seal torque retention,66,True,0.6666666666666666,DENIED,True,seal torque retention,seal torque retention,True,False,False,DENIED
40w,gpt,control,ops_incident-003,APPROVED,,59,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,ops_incident-004,APPROVED,,63,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,ops_incident-005,DENIED,reserve charge margin,60,True,0.3333333333333333,DENIED,True,reserve charge margin,reserve charge margin,True,False,False,APPROVED
40w,gpt,control,ops_incident-006,APPROVED,,61,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,ops_incident-007,APPROVED,,62,,0.6666666666666666,DENIED,False,NONE,NONE,True,False,True,DENIED
40w,gpt,control,ops_incident-008,DENIED,coolant loop flow rate,74,True,1.0,DENIED,True,coolant loop flow rate,coolant flow,True,False,False,DENIED
40w,gpt,control,ops_incident-009,DENIED,battery bus impedance,64,True,1.0,DENIED,True,battery bus impedance,battery bus impedance,True,False,False,DENIED
40w,gpt,control,ops_incident-010,APPROVED,,63,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ops_incident-011,APPROVED,,56,,0.6666666666666666,DENIED,False,guidance solution confidence,guidance solution confidence,False,False,False,
40w,gpt,control,ops_incident-012,APPROVED,,72,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,ops_incident-013,APPROVED,,70,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,ops_incident-014,DENIED,particulate count,56,True,1.0,DENIED,True,particulate count,particulate count,True,False,False,APPROVED
40w,gpt,control,ops_incident-015,DENIED,seal torque retention,61,True,1.0,DENIED,True,seal torque retention,seal torque retention,True,False,False,APPROVED
40w,gpt,control,ops_incident-016,DENIED,coolant loop flow rate,68,True,1.0,DENIED,True,coolant loop flow rate,coolant flow,True,False,False,DENIED
40w,gpt,control,ops_incident-017,DENIED,star tracker residual,51,False,0.6666666666666666,APPROVED,False,NONE,NONE,False,False,False,DENIED
40w,gpt,control,ops_incident-018,APPROVED,,74,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ops_incident-019,APPROVED,,65,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,ops_incident-020,APPROVED,,66,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,ops_incident-021,APPROVED,,69,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,ops_incident-022,DENIED,thermal blanket coverage,66,True,1.0,DENIED,True,thermal blanket coverage,thermal blanket,True,False,False,APPROVED
40w,gpt,control,ops_incident-023,APPROVED,,65,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ops_incident-024,DENIED,telemetry downlink margin,52,True,1.0,DENIED,True,telemetry downlink margin,telemetry downlink margin,True,False,False,APPROVED
40w,gpt,control,ops_incident-025,APPROVED,,57,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ops_incident-026,DENIED,gyro drift rate,72,True,1.0,DENIED,True,gyro drift rate,gyro drift rate,True,False,False,APPROVED
40w,gpt,control,ops_incident-027,DENIED,battery bus impedance,79,True,1.0,DENIED,True,battery bus impedance,battery bus impedance,True,False,False,
40w,gpt,control,ops_incident-028,DENIED,star tracker residual,67,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,APPROVED
40w,gpt,control,ops_incident-029,APPROVED,,48,,0.6666666666666666,APPROVED,True,guidance solution confidence,guidance solution confidence,False,False,False,APPROVED
40w,gpt,control,clinical_enroll-000,DENIED,systolic blood pressure,55,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-001,DENIED,triglycerides,49,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-002,DENIED,systolic blood pressure,61,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-003,DENIED,creatinine clearance,53,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,
40w,gpt,control,clinical_enroll-004,APPROVED,,50,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,clinical_enroll-005,DENIED,left ventricular ejection fraction,56,True,1.0,DENIED,True,left ventricular ejection fraction,left ventricular ejection fraction,True,False,False,DENIED
40w,gpt,control,clinical_enroll-006,APPROVED,,58,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-007,DENIED,systolic blood pressure,55,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-008,APPROVED,,55,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,clinical_enroll-009,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-010,APPROVED,,64,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-011,DENIED,estimated glomerular filtration rate,51,True,1.0,DENIED,True,UNMATCHED,eGFR,False,True,False,DENIED
40w,gpt,control,clinical_enroll-012,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,clinical_enroll-013,DENIED,creatinine clearance,61,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,DENIED
40w,gpt,control,clinical_enroll-014,APPROVED,,48,,0.6666666666666666,DENIED,False,platelet count,platelet count,False,False,False,APPROVED
40w,gpt,control,clinical_enroll-015,APPROVED,,62,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,clinical_enroll-016,APPROVED,,55,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-017,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,
40w,gpt,control,clinical_enroll-018,APPROVED,,53,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,clinical_enroll-019,APPROVED,,44,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-020,DENIED,hemoglobin,47,True,1.0,DENIED,True,hemoglobin,hemoglobin,True,False,False,
40w,gpt,control,clinical_enroll-021,APPROVED,,56,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,clinical_enroll-022,DENIED,systolic blood pressure,57,True,1.0,DENIED,True,systolic blood pressure,systolic blood pressure,True,False,False,DENIED
40w,gpt,control,clinical_enroll-023,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,gpt,control,clinical_enroll-024,DENIED,triglycerides,56,True,1.0,DENIED,True,triglycerides,triglycerides,True,False,False,
40w,gpt,control,clinical_enroll-025,DENIED,body mass index,55,True,1.0,DENIED,True,UNMATCHED,BMI,False,True,False,DENIED
40w,gpt,control,clinical_enroll-026,DENIED,fasting glucose,55,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,DENIED
40w,gpt,control,clinical_enroll-027,APPROVED,,57,,1.0,DENIED,False,UNMATCHED,eGFR,False,True,False,APPROVED
40w,gpt,control,clinical_enroll-028,DENIED,creatinine clearance,55,True,1.0,DENIED,True,creatinine clearance,creatinine clearance,True,False,False,APPROVED
40w,gpt,control,clinical_enroll-029,DENIED,fasting glucose,53,True,1.0,DENIED,True,fasting glucose,fasting glucose,True,False,False,APPROVED
40w,gpt,control,ci_release-000,APPROVED,,52,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ci_release-001,APPROVED,,48,,1.0,APPROVED,True,NONE,NONE,True,False,False,APPROVED
40w,gpt,control,ci_release-002,DENIED,line coverage,42,True,0.6666666666666666,DENIED,True,line coverage,line coverage,True,False,False,APPROVED
